"id,nekaj",naslov,leto,oznaka,cas,ocena
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,8.7
0081398,Raging Bull,1980,R,129,8.1
0079579,Moscow Does Not Believe in Tears,1980,PG,150,8.0
0081283,Ordinary People,1980,R,124,7.7
0080549,Coal Miner&#x27;s Daughter,1980,PG,124,7.5
0081150,Melvin and Howard,1980,R,95,6.8
0080716,Fame,1980,R,134,6.6
0082971,Raiders of the Lost Ark,1981,PG,115,8.4
0082736,Mephisto,1981,Unrated,146,7.7
0082846,On Golden Pond,1981,PG,109,7.6
0082010,An American Werewolf in London,1981,R,97,7.5
0082484,Quest for Fire,1981,R,100,7.3
0082979,Reds,1981,PG,195,7.3
0082158,Chariots of Fire,1981,PG,125,7.1
0082031,Arthur,1981,PG,97,6.9
0083922,Fanny and Alexander,1982,R,188,8.1
0083987,Gandhi,1982,PG,191,8.0
0083866,E.T. the Extra-Terrestrial,1982,PG,115,7.9
0084335,Missing,1982,PG,122,7.7
0084865,Victor/Victoria,1982,PG,134,7.6
0084707,Sophie&#x27;s Choice,1982,R,150,7.5
0084805,Tootsie,1982,PG,116,7.4
0082443,Genocide,1982,PG,90,7.3
0084434,An Officer and a Gentleman,1982,R,124,7.1
0086617,The Year of Living Dangerously,1982,PG,115,7.1
0084874,Begin the Beguine,1982,PG,87,6.9
0086190,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,8.3
0086197,The Right Stuff,1983,PG,193,7.8
0086425,Terms of Endearment,1983,PG,132,7.4
0086423,Tender Mercies,1983,PG,92,7.3
0086619,Yentl,1983,PG,133,6.6
0085549,Flashdance,1983,R,95,6.2
0085655,He Makes Me Feel Like Dancin&#x27;,1983,,51,6.2
0086879,Amadeus,1984,PG,160,8.4
0088275,The Times of Harvey Milk,1984,Not Rated,90,8.2
0087553,The Killing Fields,1984,R,141,7.8
0087469,Indiana Jones and the Temple of Doom,1984,PG,118,7.5
0087921,Places in the Heart,1984,PG,111,7.4
0087892,A Passage to India,1984,PG,164,7.3
0087144,Dangerous Moves,1984,,100,6.6
0087957,Purple Rain,1984,R,111,6.5
0088007,The River,1984,PG-13,124,6.3
0088414,The Woman in Red,1984,PG-13,87,5.9
